WORD,COUNT
교사,13422
학교,8512
초등학교,7322
교육,6625
학생,5685
교육부,4345
학부모,4210
서울,3391
교사들,3326
A씨,2974
경찰,2923
진행,2682
지역,2605
지원,2504
운영,2482
집회,2339
아이,2288
교권,2286
사건,2279
추모,2232
수업,2221
민원,2162
전국,2157
현장,2141
생각,2126
조사,2113
이날,2105
선생님,2088
아동,2080
활동,2025
학생들,1928
보호,1911
참여,1907
대상,1893
예정,1747
국회,1703
정부,1662
교원,1657
아이들,1634
공교육,1630
상황,1552
시작,1530
확인,1528
사람,1528
사망,1507
사회,1493
선택,1483
어린이,1467
교육청,1447
안전,1433
프로그램,1406
사용,1398
신고,1392
마련,1381
요구,1378
계획,1366
자녀,1351
서이초,1348
연가,1345
학습,1322
대표,1298
관계자,1283
학대,1278
발생,1248
대응,1225
대전,1216
발견,1213
혐의,1199
사업,1179
의원,1178
체험,1176
결과,1170
교실,1156
마음,1153
자신,1150
가능,1124
초등,1122
주장,1115
교육감,1113
병가,1078
사실,1074
대책,1066
제공,1065
업무,1049
한국,1042
고인,1031
징계,1030
강화,1027
추진,1026
극단,1016
정도,1012
설명,1007
경기,988
휴업,945
침해,944
행사,935
참석,931
사고,928
피해자,919
환경,916
행동,905
인근,898
지도,895
대회,894
지난달,894
부모,892
회복,890
생활,888
담임,875
선생,873
목소리,871
교장,867
앵커,867
입장,857
결정,848
확대,844
활용,842
중학교,834
청소년,834
촉구,810
이용,808
국민,807
강조,805
개정,802
대학,801
수사,797
전화,791
장관,790
문화,790
지적,787
일본,785
유족,784
고등학교,782
학급,781
노력,777
이야기,777
가족,775
피해,774
정책,773
상담,773
동료,769
조치,763
공간,761
기준,759
단체,758
악성,749
공개,748
파악,746
신청,746
방침,737
유치원,735
온라인,734
학부모들,734
모습,724
요청,722
방안,720
미래,708
범죄,706
말씀,704
서초구,699
회장,697
준비,693
근무,692
스쿨존,692
행위,688
성폭행,682
국가,678
개선,670
설치,662
선수,659
성장,650
적용,645
포함,644
사진,644
전북,637
사이,635
주민,633
조성,632
상태,630
초등학생,628
치료,627
자리,627
친구,626
광주,620
기록,619
책임,613
중요,610
기관,608
주변,606
세계,605
죽음,605
경기도,603
아파트,601
구성,598
버스,596
시설,595
학교장,594
판단,593
교수,593
49재,590
경험,589
기간,579
부총리,579
범행,579
사례,577
제기,571
관심,571
의견,570
집단행동,569
평가,567
AI,563
고소,562
처분,562
결국,561
세상,559
건강,559
엄마,556
B씨,554
부산,554
여성,553
보도,550
도움,549
개인,549
4일,546
시장,543
개최,542
사람들,541
시행,540
아버지,538
서비스,534
방식,533
제한,533
입학,533
이해,532
공무원,530
특별,529
이름,526
병원,523
제도,518
위원회,518
폭력,517
규모,516
방문,515
미국,514
방법,513
인정,511
지정,511
내년,508
만큼,505
예방,504
역사,504
주최,503
관리,502
정상,501
정신,500
속도,500
센터,498
추가,498
예고,497
자료,496
수준,493
해결,493
얘기,493
시민,491
중심,487
권리,483
하루,483
감사,482
9월,481
규정,477
처벌,477
커뮤니티,476
의미,475
영어,473
발언,471
고교,468
노조,467
이주호,467
인천,467
마을,465
기회,463
교감,462
차량,462
사무관,457
부족,455
최대,455
기업,454
갈등,454
처리,451
대비,451
전달,448
도시,448
재량,446
부담,445
논란,444
영상,443
어머니,442
양천구,441
어려움,440
보장,440
대한민국,440
장소,438
아동학,437
군산,436
정보,434
마지막,434
여부,433
참가,432
고민,431
분야,431
사랑,430
인권,430
시간,429
질문,429
반대,428
DNA,426
고발,425
담임교사,423
음악,422
확보,421
예산,420
작가,418
흉기,418
방학,418
불법,417
가정,417
시절,417
비판,414
중국,414
민주당,412
사과,411
교육활동,410
분위기,410
원인,409
편지,409
운동,408
공원,408
언급,407
폭행,406
윤석열,406
태풍,405
호소,403
협력,403
학원,397
분리,397
도로,395
재량휴업,395
표현,393
집중,392
특수,392
실제,391
존중,391
아동학대,390
신림동,388
진상,387
직원,386
집단,385
논의,385
어린,385
역할,383
시도,383
통학,381
희망,380
자체,380
발전,379
의혹,379
접수,378
취소,376
변화,376
살인,376
임시,376
영향,375
오염수,375
상대,373
위반,373
아들,373
지지,373
학년,371
인식,370
검찰,369
회의,368
현실,368
도서관,367
검사,365
단지,364
졸업,363
위치,362
어린이들,361
방해,360
1년,359
걱정,359
출근,358
공연,357
경제,355
갑질,354
정치,354
선정,351
규명,351
당일,350
일정,349
소통,349
예상,349
백군,349
방과,348
평소,347
행복,347
캠프,347
서울시,347
전문,346
기사,346
나이,345
고통,345
인사,344
공부,344
종합,344
주말,343
소리,343
검토,343
가능성,342
위원장,342
인력,342
혼란,342
협박,342
증가,341
세대,341
A교사,339
과학,338
소식,338
감소,338
시대,338
위기,336
자퇴,336
사안,334
스트레스,331
시민들,330
배치,330
진술,329
위험,328
계기,327
장애,327
거리,326
일반,326
동참,326
제출,325
구역,325
공동,323
점검,323
인구,323
최고,322
목숨,322
능력,322
의사,320
가구,320
지속,319
추락,319
지속적,318
피의자,317
행정,316
연계,316
기증,316
기억,315
연수,315
남성,314
등산로,314
원칙,313
서울시교육청,313
추모제,313
소속,312
수학,311
보호자,309
고시,308
단속,306
유성구,305
대구,305
취지,304
안내,304
휴대전화,304
기부,303
사교육,302
충남,301
도내,300
서이초등학교,300
정서,298
그동안,298
예술,298
가지,297
전망,297
해제,297
반영,294
7월,292
휴직,292
시범,291
법안,291
충북,291
중단,290
구체적,289
설립,289
작품,289
전남,287
경기도교육청,286
급식,286
주제,286
인원,286
조희연,286
당국,285
차원,284
휴대,284
선발,284
자유,283
직위해제,283
전교조,282
3년,281
실천,281
직위,281
분노,278
놀이,277
방류,277
이동,277
교통,276
과거,275
방송,273
차례,273
연락,272
교통사고,272
복지,271
구축,271
적극,271
세종,271
2학기,270
시속,270
목적,269
가치,269
인터뷰,268
출산,268
전문가,268
횡단보도,268
제외,267
이달,267
지원청,266
집계,266
게임,265
관내,265
디지털,264
등교,264
사전,263
더불어민주당,263
지급,263
주택,263
경남,262
나라,262
공급,262
메일,262
변호사,261
회사,261
수학여행,260
경찰청,260
파업,260
공유,259
우수,259
긴급,259
경위,258
조례,258
눈물,257
1일,257
역량,257
봉사,256
울산,256
1만,255
우리나라,255
맞춤,254
반응,254
혼자,253
통합,253
체육,253
보급,253
소개,252
정확,252
상처,252
배경,251
우승,251
탄핵,251
불안,250
도교육청,250
절차,249
최선,249
조정,249
육아,248
거부,248
여야,247
구조,247
일선,247
자연,246
2년,246
각종,245
효과,245
의장,245
인터넷,244
제안,244
언론,243
직업,243
진학,243
노래,242
신설,242
학기,242
친구들,242
모집,241
추산,241
연결,241
진단,241
간담회,241
SNS,240
향상,240
대화,240
제작,240
감독,240
훈련,239
협의,239
메시지,239
여자,239
그림,238
출신,238
형사,238
제지,237
유아,237
해석,236
산업,236
통과,235
강사,235
운전자,234
지능,234
콘텐츠,233
개학,233
존재,233
진로,233
공감,231
인생,231
확산,230
생활지도,230
당부,230
금융,230
글로벌,230
2명,229
인재,229
의무,229
법률,228
사항,228
반발,228
아빠,228
발달,227
운전,227
단축,226
철저,226
증거,226
전시,226
철회,226
최씨,226
베트남,226
투자,225
머리,224
총리,224
분들,222
교통안전,222
성공,221
전쟁,221
현장체험학습,221
소재,220
지시,220
평균,220
교회,219
증설,219
공문,218
작성,217
장군,217
지자체,217
교체,217
공무,217
고양시,216
얼굴,216
할머니,216
유튜브,216
시험,215
10년,215
바다,215
어린이집,215
추정,215
유가족,215
분양,215
부부,215
것들,214
승진,214
단계,213
남편,213
사유,213
다수,213
강원,213
골프,213
응원,212
당장,211
리포트,211
소년,210
북한,210
본인,209
선고,209
방향,209
3일,209
해소,209
빈소,209
스마트폰,209
순직,209
이틀,208
경쟁,208
축구,208
학교폭력,208
영재,208
강간,207
정상적,206
교육당국,206
여름,206
움직임,205
전담,205
동원,205
난동,204
투입,204
임시휴업,204
청년,204
해임,203
늘봄학교,203
변경,202
초등교사,202
장애인,202
번째,202
무대,202
통화,202
서이,202
경북,202
항의,201
반복,201
완화,201
인기,201
홍보,201
YTN,201
정문,201
충격,200
지부,199
여의도,199
학사,199
후쿠시마,198
범위,197
직장,197
축제,197
비율,196
요즘,196
진상규명,196
파면,196
구속,196
유명,195
지구,195
적응,195
공동체,194
수요,194
차이,194
경고,194
,193
주민들,193
제시,193
교직원,193
계약,192
국제,191
방지,191
위협,191
일상,191
공공,191
시간대,191
모임,190
별도,190
학습권,190
해외,189
동시,189
수산물,189
전국교직원노동조합,188
특정,188
A군,188
건물,187
취재,187
입법,187
징역,186
핵심,186
얼마,186
불편,186
인공지능,186
유서,186
과목,185
제품,185
도전,185
운동장,185
기획,185
통학버스,185
재해,185
7일,184
동기,184
생명,184
고성,184
살해,184
대통령실,184
서울과학고,184
업체,183
순간,183
형성,183
고향,182
자택,181
프로젝트,181
극단적,181
초교,181
기본,181
대로,180
휴가,180
심리,180
야당,180
법제처,180
6월,180
세종시,180
전년,180
소송,179
애도,179
5년,179
청주,179
체험학습,179
10시,179
동네,178
7시,178
사태,178
교과서,178
동백대교,178
근거,177
1명,177
마무리,177
백강현,177
4년,176
공식,176
재판,176
의도,176
사정,176
재판부,175
부탁,175
무료,175
어린이보호구역,175
결혼,175
관악구,175
주호민,175
의식,174
국민의힘,174
입시,174
형태,174
녹음,174
9시,174
작업,174
5일,173
피아노,173
인간,173
동창,173
증언,173
잼버리,173
경영,173
독서,173
유지,172
위원,172
우울증,172
강경,172
동의,172
홈페이지,171
태도,171
야구,171
한편,170
마감,170
가슴,170
신규,170
가해자,169
국민들,169
학력,169
공백,168
비용,168
평생,168
출연,168
3명,168
8월,168
교육계,167
통보,167
한글,167
교직,166
규제,166
코로나19,166
제목,166
영화,166
심사,166
스포츠,166
언어,166
지침,166
동물,166
강현이,166
청소년들,165
양성,165
차지,165
기념,165
중등,165
제보,164
정황,164
참가자,164
착수,164
고등학생,164
홍범도,164
바람,164
포렌식,164
생전,163
유족들,163
현황,163
하교,163
현지,162
설문,162
3월,162
흉상,162
주목,162
압박,161
문의,161
대처,161
답변,161
전용,161
4시,161
신체,160
약속,160
연습,160
최종,160
그룹,160
제자,159
교내,158
캠페인,158
신속,157
사업장,157
다문화,157
이재명,157
여학생,157
자제,157
10월,156
바탕,156
파견,156
단순,156
건립,156
중학생,156
장학사,155
토로,155
환자,154
여당,154
장례식장,154
특성,153
추모일,153
양육,153
CCTV,153
임태희,153
전환,152
용인,152
대전시교육청,152
소지,152
가족들,152
인공,152
자살,151
9일,151
지방,151
질병,151
코딩,151
설계,151
의사당,151
후원,150
접근,150
시도교육청,150
과도,150
장기,150
플랫폼,150
악성민원,149
등장,149
비극,149
주의,149
거주,149
일대,149
17일,149
비난,148
합의,148
권한,148
교원단체,148
개교,148
전기차,148
발굴,148
왕자,148
절반,147
기초,147
단식,147
2일,147
너클,147
여론,146
교과,146
10일,146
교육과정,146
